0 0 1357
0 0 2415
0 0 2421
0 0 2455
0 0 2458
0 0 2464
0 0 2466
0 0 2468
0 0 2493
0 0 2495
0 0 2508
0 0 2525
0 0 2546
0 0 2550
0 0 2560
0 0 2564
0 0 2566
0 0 2570
0 0 2573
0 0 2586
0 0 3130
0 0 3132
0 0 3164
0 0 3182
0 0 3198
0 0 3216
0 0 3221
0 0 3223
0 0 3238
0 0 10
0 0 11
0 0 3254
0 0 3256
0 0 3260
0 0 26
0 0 3265
0 0 3292
0 0 59
0 0 3298
0 0 18
0 0 3303
0 0 3
0 0 22
0 0 70
0 0 11
0 0 3313
0 0 76
0 0 3316
0 0 3317
0 0 3319
0 0 19
0 0 3331
0 0 93
0 1 78
0 1 79
0 1 17
0 1 84
0 1 44
0 2 23
0 2 38
0 2 54
0 2 58
0 2 65
0 2 82
0 2 88
0 2 90
0 2 96
0 2 99
0 2 105
0 2 147
0 2 161
0 2 164
0 2 183
0 2 185
0 2 193
0 2 200
0 2 201
0 2 205
0 2 216
0 2 223
0 2 232
0 2 246
0 2 266
0 2 271
0 2 284
0 2 308
0 2 311
0 2 335
0 2 362
0 2 363
0 2 370
0 2 388
0 2 408
0 2 438
0 2 450
0 2 463
0 2 479
0 2 484
0 2 503
0 2 512
0 2 513
0 2 519
0 2 562
0 2 572
0 2 581
0 2 595
0 2 598
0 2 610
0 2 618
0 2 629
0 2 665
0 2 669
0 2 687
0 2 701
0 2 722
0 2 726
0 2 727
0 2 742
0 2 748
0 2 760
0 2 761
0 2 767
0 2 777
0 2 779
0 2 786
0 2 813
0 2 849
0 2 857
0 2 864
0 2 866
0 2 867
0 2 869
0 2 878
0 2 883
0 2 896
0 2 899
0 2 902
0 2 906
0 2 917
0 2 924
0 2 929
0 2 934
0 2 939
0 2 962
0 2 963
0 2 981
0 2 1027
0 2 1029
0 2 1042
0 2 1045
0 2 1059
0 2 1068
0 2 1129
0 2 1190
0 2 1252
0 2 1260
0 2 1294
0 2 1297
1 0 303
1 0 309
1 0 320
1 0 342
1 0 355
1 0 369
1 0 379
1 0 386
1 0 403
1 0 489
1 0 501
1 0 505
1 0 515
1 0 517
1 0 521
1 0 528
1 0 540
1 0 542
1 0 547
1 0 560
1 0 575
1 0 638
1 0 649
1 0 695
1 0 702
1 0 714
1 0 718
1 0 725
1 0 740
1 0 756
1 0 763
1 0 771
1 0 775
1 0 778
1 0 783
1 0 789
1 0 805
1 0 838
1 0 871
1 0 895
